עברית,אנגלית,רמז אנג,רמז אנג2,רמז אנג3,רמז עבר,רמז עבר2,רמז עבר3
אבטליון,Avtalyon,,,,,,
אביאל,Avi'el,,,,,,
אביבים,Avivim,,,,,,
אביגדור,Avigdor,,,,,,
אביחיל,Avihayil,,,,,,
אביטל,Avital,,,,,,
אביעזר,Avi'ezer,,,,,,
אבירים,Abbirim,,,,,,
אבן יהודה,Even Yehuda,,,,,,
אבן מנחם,Even Menahem,,,,,,
אבן ספיר,Even Sapir,,,,,,
אבן שמואל,Even Shemuel,,,,,,
אבני איתן,Avne Etan,Avne Eitan,,,,,
אבני חפץ,Avne Hefets,Avne Hefetz,,,,,
אבנת,Avnat,,,,,,
אבשלום,Avshalom,,,,,,
אדורה,Adora,,,,,,
אדירים,Addirim,Adirim,,,,,
אודם,Odem,,,,,,
אדמית,Adamit,,,,,,
אדרת,Adderet,Aderet,,,,,
אוהד,Ohad,,,,,,
אוהלו,Ohalo,,,,,,
אודים,Udim,,,,,,
אור הגנוז,Or Haganuz,,,,,,
אור הנר,Or Haner,,,,,,
אור יהודה,Or Yehuda,,,,,,
אור עקיבא,Or Akiva,,,,,,
אורה,Ora,,,,,,
אורות,Orot,,,,,,
אורטל,Ortal,,,,,,
אורים,Urim,,,,,,
אורנית,Oranit,,,,,,
אושה,Usha,,,,,,
אזור,Azor,,,,,,
אחווה,Ahava,,,,,,
אחוזם,Ahuzzam,Ahuzam,Achuzam,,,,
אחוזת ברק,Ahuzzat Barak,Ahuzat Barak,Achuzat Barak,,,,
אחוזת שושנה,Ahuzzat Shoshana,Ahuzat Shoshana,Achuzat Shoshana,,,,
אחיהוד,Ahihud,Achihud,,,,,
אחיטוב,Ahituv,Achituv,,,,,
אחיסמך,Ahisamakh,Achisamach,,,,,
אחיעזר,Ahi'ezer,Achiezer,,,,,
אייל,Eyal,,,,,,
אילון,Elon,,,,,,
אילות,Elot,,,,,,
אילנייה,Ilaniyya,Ilaniya,,,,,
אילת,Elat,Eilat,,,,,
איילת השחר,Ayyelet Hashahar,Ayelet Hashahar,Ayelet Hashachar,,,,
איתמר,Itamar,,,,,,
איתן,Etan,Eitan,,,,,
איתנים,Etanim,Eitanim,,,,,
אל-רום,Al Rom,,,,,,
אלון הגליל,Allon Hagalil,Alon Hagalil,,,,,
אלון מורה,Allon More,Alon More,,,,,
אלון שבות,Allon Shevut,Alon Shevut,Alon Shvut,,,,
אלוני אבא,Allone Abba,Alone Aba,Alonei Aba,,,,
אלוני הבשן,Allone Habashan,Alone Habashan,Alonei Habashan,,,,
אלוני יצחק,Allone Yits'hak,Alone Yitzhak,Alonei Yitzhak,,,,
אלונים,Allonim,Alonim,,,,,
אלי עד,Eli-Ad,,,,,,
אליכין,Elyakhin,Elyachin,,,,,
אליפז,Elifaz,,,,,,
אליפלט,Elifelet,,,,,,
אליקים,Elyakim,,,,,,
אלישיב,Elyashiv,,,,,,
אלישמע,Elishama,,,,,,
אלישע,Elisha,,,,,,
אלמגור,Almagor,,,,,,
אלומה,Alumma,Aluma,,,,,
אלמוג,Almog,,,,,,
אלומות,Alummot,Alumot,,,,,
אלעד,El'ad,,,,,,
אלעזר,El'azar,,,,,,
אלפי מנשה,Alfe Menashe,Alfei Menashe,,,,,
אלקוש,Elkosh,,,,,,
אלקנה,Elkana,,,,,,
אמונים,Emunim,,,,,,
אמירים,Amirim,,,,,,
אומן,Omen,,,,,,
אמנון,Amnun,,,,,,
אומץ,Omets,Ometz,,,,,
אמציה,Amatsya,Amatzia,,,,,
אניעם,Ani’am,,,,,,
אספר,Asfar,,,,,,
אפיק,Afik,,,,,,
אפיקים,Afikim,,,,,,
אפעל,Efal,,,,,,
אפק,Afek,,,,,,
אופקים,Ofakim,,,,,,
אפרתה,Efrata,,,,,,
ארבל,Arbel,,,,,,
ארגמן,Argaman,,,,,,
ארז,Erez,,,,,,
אריאל,Ari'el,,,,,,
אורנים,Oranim,,,,,,
ארסוף,Arsuf,,,,,,
אשבול,Eshbol,,,,,,
אשבל,Eshbal,,,,,,
אשדוד,Ashdod,,,,,,
אשדות יעקב (איחוד),Ashdot Ya'akov (Ihud),,,,,,
אשדות יעקב (מאוחד),Ashdot Ya'akov (Me'uhad),,,,,,
אשר,Eshhar,Eshchar,,,,,
אשכולות,Eshkolot,,,,,,
אשל הנשיא,Eshel Hanasi,,,,,,
אשלים,Ashalim,,,,,,
אשקלון,Ashkelon,Askalon,,,,,
אשרת,Asherat,,,,,,
אשתאול,Eshta'ol,,,,,,
באר אורה,Be'er Ora,,,,,,
באר טוביה,Be'er Toviyya,Be'er Toviya,Be'er Tuviya,Be'er Tuvia,,,
באר יעקב,Be'er Ya'akov,,,,,,
באר מלכה,Be'er Milka,,,,באר מילכה,,
באר שבע,Beersheba,Be'er Shava,Be'er Sheva,Be'er Sheba,,,
בארות יצחק,Be'erot Yit'shak,Be'erot Yitzhak,,,,,
בארותיים,Be'erotayim,,,,,,
בארי,Be'eri,,,,,,
בורגתה,Burgeta,,,,,,
בחן,Bahan,,,,,,
בטחה,Bitha,,,,,,
בירייה,Biriyya,Birya,Biriya,,ביריה,,
בית אל,Bet El,Beit El,Beth El,,,,
אבית אלעזרי,Bet El'azari,Beit El'azari,,,,,
בית אלפא,Bet Alfa,Beit Alfa,,,,,
בית אריה,Bet Arye,Beit Arye,,,,,
בין אורן,Bet Oren,Beit Oren,,,,,
בית ברל,Bet Berl,Beit Berl,,,,,
בית גוברין,Bet Guvrin,Beit Guvrin,,,,,
בית גמליאל,Bet Gamli'el,Beit Gamli'el,,,,,
בית דגן,Bet Dagan,Beit Dagan,,,,,
בית הגדי,Bet Hagaddi,Beit Hagaddi,Beit HaGadi,,,,
בית הלוי,Bet Halevi,Beit Halevi,,,,,
בית הילל,Bet Hillel,Beit Hillel,,,,,
בית העמק,Bet Ha'emek,Beit Ha'emek,,,,,
בית הערבה,Bet Ha'Arava,Beit Ha'Arava,,,,,
בית השיטה,Bet Hashitta,Beit Hashitta,Beit Hashita,,בית השטה,,
בית זיד,Bet Zeid,Beit Zeid,Beit Zaid,,בית זייד,,
בית זית ,Bet Zayit,Beit Zayit,,,,,
בית זרע,Bet Zera,Beit Zera,,,,,
בית חורון,Bet Horon,Beit Horon,,,,,
בית חלקיה,Bet Hilkiyya,Beit Hilkiyya,Beit Hilkia,,,,
בית חנן,Bet Hanan,Beit Hanan,,,,,
בית חנניה,Bet Hananya,Beit Hananya,,,,,
בית חירות,Bet Herut,Beit Herut,,,בית חרות,,
בית חשמונאי,Bet Hashmonai,Beit Hashmonai,,,,,
בית יהושוע ,Bet Yehoshu'a,Beit Yehoshu'a,,,בית יהושע,,
בית יוסף,Bet Yosef,Beit Yosef,Beit Yossef,,,,
בית ינאי,Bet Yannai,Beit Yannai,,,,,
בית יצחק - שער חפר,Bet Yits'hak - Sha'ar Hefer,Beit Yits'hak - Sha'ar Hefer,,,,,
